City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Matadi,CD,92.55,few clouds,-5.8167,13.45,Matadi
515,Inirida,CO,78.76,scattered clouds,3.8653,-67.9239,Inírida
516,Teknaf,BD,82.65,overcast clouds,20.8624,92.3058,Teknaf
520,Santa Maria,BR,78.1,clear sky,-29.6842,-53.8069,Santa Maria
521,Bereznik,RU,79.29,overcast clouds,62.8551,42.7072,Bereznik
523,Saint Anthony,US,77.14,scattered clouds,45.0205,-93.218,Minneapolis
524,Las Choapas,MX,81.03,scattered clouds,17.9333,-94.0833,Las Choapas
525,Bedong,MY,84.9,overcast clouds,5.7274,100.5088,Sungai Petani
526,Kisangani,CD,86.63,overcast clouds,0.5167,25.2,Kisangani
528,Turan,VN,78.78,scattered clouds,16.0678,108.2208,Da Nang
530,Korla,CN,83.62,clear sky,41.7597,86.1469,Bayingolin Mongol Autonomous Prefecture
531,Fare,PF,76.23,light rain,-16.7,-151.0167,Fare
536,Brigantine,US,91.02,clear sky,39.4101,-74.3646,Atlantic City
537,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Klouklubed
538,Pangoa,PE,78.1,broken clouds,-12.1167,-73.0,Colegio De Pangoa
539,Ambilobe,MG,77.85,few clouds,-13.2,49.05,Ambilobe
540,Yingcheng,CN,81.82,broken clouds,30.95,113.55,Xiaogan
541,Anyksciai,LT,77.95,few clouds,55.5256,25.1026,Anykščiai
542,Carnot,CF,78.48,light rain,4.9409,15.8665,Carnot
544,Tautira,PF,75.16,light rain,-17.7333,-149.15,Tautira
545,Cockburn Town,TC,82.27,clear sky,21.4612,-71.1419,Cockburn Town
552,Bairiki,KI,80.6,light rain,1.3292,172.9752,Bairiki
553,Vilhena,BR,84.42,clear sky,-12.7406,-60.1458,Vilhena
555,Jonkoping,SE,96.51,clear sky,57.7814,14.1562,Jönköping
563,Owase,JP,78.51,overcast clouds,34.0667,136.2,Owase
564,San Policarpo,PH,82.38,few clouds,12.1791,125.5072,Oras
566,Roswell,US,76.78,thunderstorm with heavy rain,34.0232,-84.3616,Roswell
568,Kakegawa,JP,79.02,overcast clouds,34.7667,138.0167,Kakegawa
570,Zorgo,BF,89.2,overcast clouds,12.2489,-0.6158,Zorgo
571,Dera Bugti,PK,93.94,overcast clouds,29.0307,69.151,Dera Bugti
574,Ponta Delgada,PT,78.49,broken clouds,37.7333,-25.6667,Ponta Delgada
576,Kaspiysk,RU,78.98,few clouds,42.8816,47.6392,Kaspiysk
578,Sao Gabriel Da Cachoeira,BR,80.4,broken clouds,-0.1303,-67.0892,São Gabriel da Cachoeira
580,Dongsheng,CN,79.57,overcast clouds,39.8161,109.9776,Ordos City
587,Vazante,BR,76.6,clear sky,-17.9869,-46.9078,Vazante
588,Kui Buri,TH,75.88,light rain,12.0828,99.8543,Kui Buri
590,Palasa,IN,83.89,overcast clouds,18.7667,84.4167,Shivaji Nagar
592,Ranong,TH,76.87,moderate rain,9.9658,98.6348,Bang Rin
595,Galveston,US,89.98,scattered clouds,29.3669,-94.9669,Texas City
596,Poum,NC,76.44,clear sky,-20.2333,164.0167,Poum
597,Akersberga,SE,91.47,few clouds,59.4794,18.2997,Åkersberga
598,Keti Bandar,PK,84.67,few clouds,24.1447,67.4497,Keti Bandar
600,Aneho,TG,82.6,scattered clouds,6.2333,1.6,Grand Popo
601,Sur,OM,89.89,overcast clouds,22.5667,59.5289,Sur
605,Griffith,US,82.89,clear sky,41.5284,-87.4237,Gary
606,Ouegoa,NC,75.18,clear sky,-20.35,164.4333,Ouegoa
614,Joutseno,FI,80.65,clear sky,61.118,28.5076,Lappeenranta
618,Guarapari,BR,76.89,few clouds,-20.6667,-40.4975,Guarapari
621,Feijo,BR,82.15,clear sky,-8.1642,-70.3536,Feijó
622,Nouakchott,MR,82.33,broken clouds,18.0858,-15.9785,Nouakchott
627,Mitsamiouli,KM,80.89,scattered clouds,-11.3847,43.2844,Mitsamiouli
629,Lola,GN,78.1,overcast clouds,7.8,-8.5333,Lola
630,Kalaswala,PK,79.03,overcast clouds,32.2009,74.6491,Kalaswala
633,Lago Da Pedra,BR,84.69,few clouds,-4.3333,-45.1667,São José dos Curicas
636,Najran,SA,97.45,broken clouds,17.4924,44.1277,Najran
637,Hami,CN,81.12,clear sky,42.8,93.45,Hami
638,Grafton,US,88.61,clear sky,42.207,-71.6856,Millbury
640,Isangel,VU,75.2,few clouds,-19.55,169.2667,Isangel
642,Bantogon,PH,78.98,moderate rain,6.5333,124.0333,Kalamansig
643,Rovinj,HR,93.69,clear sky,45.08,13.64,Rovinj
645,La Macarena,CO,77.22,overcast clouds,2.1837,-73.7849,La Macarena
647,Rodez,FR,89.28,clear sky,44.5,2.5833,Salles-la-Source
648,Lata,PT,85.5,clear sky,40.1629,-8.3327,Coimbra
656,Suba,PH,84.56,overcast clouds,10.8438,121.0102,Cuyo
658,Ambikapur,IN,79.74,light rain,23.1167,83.2,Ambikapur
660,Wilmington,US,88.9,clear sky,34.2257,-77.9447,Wilmington
663,Kadiri,IN,85.57,overcast clouds,14.1167,78.1667,Kadiri
664,Mae Ramat,TH,81.07,overcast clouds,16.984,98.5166,Mae Ramat
667,Kalmunai,LK,83.25,heavy intensity rain,7.4167,81.8167,Kalmunai
670,Tabou,CI,78.44,broken clouds,4.423,-7.3528,Tabou
671,Nam Som,TH,79.03,overcast clouds,17.7704,102.1895,Si Samran
672,Odweyne,SO,81.25,overcast clouds,9.4092,45.064,Oodweyne
673,Markapur,IN,89.44,heavy intensity rain,15.7333,79.2833,Markapur
674,Ligayan,PH,84.09,overcast clouds,4.6533,119.4706,Sibutu
677,Kompaniyivka,UA,79.47,broken clouds,48.2511,32.208,Kompaniivka
678,Hamilton,US,82.78,clear sky,39.1834,-84.5333,Cincinnati
679,Oxford,GB,75.22,broken clouds,51.7522,-1.256,Oxford
680,Tumarbong,PH,81.12,overcast clouds,10.3766,119.4579,Roxas
682,Solhan,TR,86.95,clear sky,38.9634,41.0293,Solhan
683,Quang Ngai,VN,78.73,broken clouds,15.1167,108.8,Quảng Ngãi
685,Samarai,PG,80.22,clear sky,-10.6167,150.6667,Magesina
687,Santander Jimenez,MX,82.42,clear sky,24.2167,-98.4667,Jiménez
692,Amberley,US,82.09,clear sky,39.2048,-84.428,Cincinnati
694,Great Bend,US,84.04,clear sky,38.3645,-98.7648,Great Bend
695,Iracoubo,GF,82.45,scattered clouds,5.4802,-53.2011,Iracoubo
698,Tura,IN,76.37,overcast clouds,25.5198,90.2201,Tura
701,Akyab,MM,83.48,overcast clouds,20.15,92.9,Sittwe
703,Lahij,YE,91.31,scattered clouds,13.1667,44.5833,
