City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
83,Pangody,RU,65.85,74.4859,47.75,74,100,12.48,overcast clouds,2022-07-21 14:23:13
84,Nalobikha,RU,53.2006,84.6039,65.35,82,85,13.94,overcast clouds,2022-07-21 14:23:14
85,Gilgit,PK,35.9221,74.3087,96.71,18,100,3.8,overcast clouds,2022-07-21 14:23:14
86,Chuy,UY,-33.6971,-53.4616,63.48,92,100,7.36,overcast clouds,2022-07-21 14:23:15
87,Merrill,US,45.1805,-89.6835,76.1,61,0,11.5,clear sky,2022-07-21 14:23:15
88,Villablino,ES,42.9393,-6.3194,94.82,29,0,1.34,clear sky,2022-07-21 14:23:15
89,Veraval,IN,20.9,70.3667,81.97,81,100,15.55,overcast clouds,2022-07-21 14:23:16
90,Hervey Bay,AU,-25.2986,152.8535,63.46,85,97,19.24,overcast clouds,2022-07-21 14:23:16
91,Luderitz,NA,-26.6481,15.1594,67.78,50,0,15.86,clear sky,2022-07-21 14:23:16
92,Hambantota,LK,6.1241,81.1185,79.14,94,40,8.05,scattered clouds,2022-07-21 14:23:17
93,Westport,US,41.1415,-73.3579,89.33,79,0,8.05,clear sky,2022-07-21 14:23:17
94,Bosaso,SO,11.2842,49.1816,91.51,43,55,7.27,broken clouds,2022-07-21 14:23:17
95,Svetlaya,RU,46.5389,138.3297,59.07,96,100,7.87,overcast clouds,2022-07-21 14:23:18
96,Grand Gaube,MU,-20.0064,57.6608,70.2,72,79,8.01,light rain,2022-07-21 14:23:18
97,Nikolskoye,RU,59.7035,30.7861,81.88,44,0,7.87,clear sky,2022-07-21 14:23:18
98,Aykhal,RU,66.0,111.5,52.36,92,100,0.74,overcast clouds,2022-07-21 14:23:19
99,Aksu,CN,41.1231,80.2644,86.79,22,0,3.02,clear sky,2022-07-21 14:23:19
100,Oktyabrskiy,RU,54.4815,53.471,71.08,64,100,5.06,overcast clouds,2022-07-21 14:23:19
101,Sinnamary,GF,5.3833,-52.95,82.74,72,30,5.19,scattered clouds,2022-07-21 14:23:20
102,Touros,BR,-5.1989,-35.4608,82.87,62,58,14.27,broken clouds,2022-07-21 14:23:20
103,Praia Da Vitoria,PT,38.7333,-27.0667,80.85,61,20,3.51,few clouds,2022-07-21 14:23:20
104,Klaksvik,FO,62.2266,-6.589,54.52,85,10,12.5,clear sky,2022-07-21 14:23:21
105,Biak,ID,-0.9131,122.8766,75.99,85,32,5.68,scattered clouds,2022-07-21 14:21:14
106,Muros,ES,42.7762,-9.0603,75.38,65,4,13.76,clear sky,2022-07-21 14:19:45
107,Tasiilaq,GL,65.6145,-37.6368,41.16,71,96,4.52,overcast clouds,2022-07-21 14:23:21
108,Port Blair,IN,11.6667,92.75,81.09,85,100,15.03,heavy intensity rain,2022-07-21 14:23:22
109,Denpasar,ID,-8.65,115.2167,78.46,88,40,11.5,scattered clouds,2022-07-21 14:23:22
110,Qaanaaq,GL,77.484,-69.3632,45.46,72,99,5.93,overcast clouds,2022-07-21 14:23:23
111,Hobyo,SO,5.3505,48.5268,78.73,72,56,26.71,broken clouds,2022-07-21 14:23:23
112,San Patricio,US,28.017,-97.5169,88.84,63,0,15.01,clear sky,2022-07-21 14:21:04
113,Kodiak,US,57.79,-152.4072,51.31,87,100,4.61,moderate rain,2022-07-21 14:21:06
114,Ayorou,NE,14.7308,0.9174,95.07,36,54,1.36,broken clouds,2022-07-21 14:23:24
115,Mount Isa,AU,-20.7333,139.5,51.57,32,5,10.36,clear sky,2022-07-21 14:23:24
116,Mount Gambier,AU,-37.8333,140.7667,46.65,84,48,8.5,scattered clouds,2022-07-21 14:22:40
117,Camacha,PT,33.0833,-16.3333,71.02,64,75,16.11,broken clouds,2022-07-21 14:23:25
118,Kyshtovka,RU,56.555,76.6271,63.61,90,91,7.36,overcast clouds,2022-07-21 14:23:25
119,Taonan,CN,45.3333,122.7833,74.79,65,12,6.58,few clouds,2022-07-21 14:23:25
120,Fortuna,US,40.5982,-124.1573,55.65,91,86,4.63,overcast clouds,2022-07-21 14:20:16
121,Fort Nelson,CA,58.8053,-122.7002,51.39,100,75,2.3,broken clouds,2022-07-21 14:23:26
122,Cayenne,GF,4.9333,-52.3333,86.04,1,100,2.3,overcast clouds,2022-07-21 14:23:26
123,Kavaratti,IN,10.5669,72.642,81.1,82,100,20.98,overcast clouds,2022-07-21 14:23:26
124,Haines Junction,CA,60.7522,-137.5108,43.57,86,92,2.64,overcast clouds,2022-07-21 14:23:27
125,Ambovombe,MG,-25.1667,46.0833,72.48,66,22,9.86,few clouds,2022-07-21 14:23:27
126,Caravelas,BR,-17.7125,-39.2481,78.33,62,1,8.19,clear sky,2022-07-21 14:21:00
127,Barrow,US,71.2906,-156.7887,42.82,87,40,18.41,scattered clouds,2022-07-21 14:20:02
128,Mocuba,MZ,-16.8392,36.9856,79.65,41,0,6.6,clear sky,2022-07-21 14:23:28
