City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
118,Peniche,PT,39.3558,-9.3811,75.29,80,2,8.52,clear sky,2022-07-17 17:56:20
119,Hithadhoo,MV,-0.6,73.0833,76.91,90,100,28.27,overcast clouds,2022-07-17 17:56:20
120,Banjar,ID,-8.19,114.9675,75.34,91,34,2.26,scattered clouds,2022-07-17 17:56:21
121,Cape Town,ZA,-33.9258,18.4232,60.28,87,75,14.97,broken clouds,2022-07-17 17:55:37
122,Georgetown,MY,5.4112,100.3354,84.88,90,20,2.3,few clouds,2022-07-17 17:51:57
123,Abu Dhabi,AE,24.4667,54.3667,96.91,65,95,5.75,overcast clouds,2022-07-17 17:51:53
124,Nanchang,CN,28.6833,115.8833,79.5,85,98,0.72,overcast clouds,2022-07-17 17:55:46
125,Hermanus,ZA,-34.4187,19.2345,60.8,81,0,8.52,clear sky,2022-07-17 17:56:21
126,Alice Springs,AU,-23.7,133.8833,36.95,38,0,0.0,clear sky,2022-07-17 17:56:22
127,Huarmey,PE,-10.0681,-78.1522,67.84,69,13,10.76,few clouds,2022-07-17 17:56:22
128,Biak,ID,-0.9131,122.8766,74.23,87,98,6.58,overcast clouds,2022-07-17 17:56:22
129,Igboho,NG,8.8333,3.75,73.36,91,81,4.7,light rain,2022-07-17 17:56:23
130,Geraldton,AU,-28.7667,114.6,54.01,94,40,8.05,scattered clouds,2022-07-17 17:56:23
131,Talara,PE,-4.5772,-81.2719,72.36,64,0,16.11,clear sky,2022-07-17 17:56:24
132,Oranjestad,AW,12.524,-70.027,87.75,66,40,26.46,scattered clouds,2022-07-17 17:51:46
133,Lakefield,US,43.6775,-95.1717,82.15,65,40,1.99,scattered clouds,2022-07-17 17:52:45
134,High Level,CA,58.5169,-117.136,69.91,73,40,4.61,scattered clouds,2022-07-17 17:56:24
135,Mantua,IT,45.1667,10.7833,90.64,54,2,5.01,clear sky,2022-07-17 17:56:25
136,Sao Filipe,CV,14.8961,-24.4956,76.1,79,31,15.32,scattered clouds,2022-07-17 17:56:24
137,Mehamn,NO,71.0357,27.8492,55.35,76,40,6.91,scattered clouds,2022-07-17 17:56:25
138,Talnakh,RU,69.4865,88.3972,58.21,71,95,3.85,overcast clouds,2022-07-17 17:53:07
139,Phan Thiet,VN,10.9333,108.1,77.9,90,63,7.61,broken clouds,2022-07-17 17:56:25
140,Del Rio,US,29.3627,-100.8968,91.8,33,0,11.5,clear sky,2022-07-17 17:56:26
141,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,75,17.27,broken clouds,2022-07-17 17:56:26
142,Bagdarin,RU,54.4333,113.6,52.52,97,94,2.37,overcast clouds,2022-07-17 17:56:27
143,Arandis,NA,-22.4167,14.9667,68.18,23,3,2.95,clear sky,2022-07-17 17:56:27
144,Salalah,OM,17.0151,54.0924,76.57,93,100,4.29,overcast clouds,2022-07-17 17:56:27
145,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,87,16.51,light rain,2022-07-17 17:53:37
146,Nusaybin,TR,37.0778,41.2178,93.0,14,0,4.81,clear sky,2022-07-17 17:56:28
147,Kallithea,GR,37.95,23.7,89.49,39,0,9.22,clear sky,2022-07-17 17:56:28
148,Narsaq,GL,60.9167,-46.05,51.24,65,9,9.64,clear sky,2022-07-17 17:56:28
149,Neyshabur,IR,36.2133,58.7958,84.6,12,0,11.12,clear sky,2022-07-17 17:56:29
150,Aklavik,CA,68.2191,-135.0107,57.2,100,40,2.3,scattered clouds,2022-07-17 17:51:47
151,Thiruvarur,IN,10.7667,79.65,83.03,69,100,10.63,overcast clouds,2022-07-17 17:56:29
152,Borba,BR,-4.3878,-59.5939,90.63,50,61,3.4,broken clouds,2022-07-17 17:56:30
153,Garowe,SO,8.4054,48.4845,85.71,34,40,26.69,scattered clouds,2022-07-17 17:56:30
154,Kuvshinovo,RU,57.0295,34.1725,55.94,83,62,3.96,light rain,2022-07-17 17:56:30
155,Kimbe,PG,-5.5502,150.1429,74.84,93,96,3.96,overcast clouds,2022-07-17 17:56:31
156,Tuatapere,NZ,-46.1333,167.6833,55.13,61,61,12.08,broken clouds,2022-07-17 17:56:31
157,Hasaki,JP,35.7333,140.8333,75.6,90,54,9.64,broken clouds,2022-07-17 17:54:34
158,Filadelfia,US,39.9523,-75.1638,88.02,63,75,5.75,broken clouds,2022-07-17 17:53:50
159,Bethel,US,41.3712,-73.414,87.19,63,39,1.99,scattered clouds,2022-07-17 17:56:32
160,Bredasdorp,ZA,-34.5322,20.0403,55.6,86,0,6.31,clear sky,2022-07-17 17:56:32
161,Basar,IN,27.9833,94.6667,73.98,99,65,0.72,broken clouds,2022-07-17 17:56:33
162,Saint-Leu,RE,-21.15,55.2833,69.31,73,47,11.34,scattered clouds,2022-07-17 17:56:33
163,Ramotswa,BW,-24.8716,25.8699,56.82,48,0,2.39,clear sky,2022-07-17 17:56:33
164,Alofi,NU,-19.0595,-169.9187,71.49,94,24,5.75,few clouds,2022-07-17 17:54:58
165,Beatrice,US,40.2681,-96.747,81.18,74,75,9.22,broken clouds,2022-07-17 17:56:34
166,Severo-Kurilsk,RU,50.6789,156.125,53.06,97,100,0.98,overcast clouds,2022-07-17 17:56:34
167,Khandyga,RU,62.6667,135.6,67.48,86,5,2.75,clear sky,2022-07-17 17:56:35
168,Lagoa,PT,39.05,-27.9833,70.92,89,52,10.67,broken clouds,2022-07-17 17:56:35
169,Tura,IN,25.5198,90.2201,76.73,92,65,5.57,broken clouds,2022-07-17 17:56:12
170,Puerto Ayora,EC,-0.7393,-90.3518,75.16,85,74,7.0,broken clouds,2022-07-17 17:56:35
171,Chatra,IN,24.2167,84.8667,81.43,73,48,11.59,scattered clouds,2022-07-17 17:56:36
172,Saint George,US,37.1041,-113.5841,101.79,23,38,8.01,scattered clouds,2022-07-17 17:56:34
173,San Andres,CO,12.5847,-81.7006,86.02,74,40,17.27,scattered clouds,2022-07-17 17:56:36
174,Boromo,BF,11.75,-2.9333,80.38,73,95,4.61,overcast clouds,2022-07-17 17:56:27
175,Namatanai,PG,-3.6667,152.4333,78.8,80,36,9.06,scattered clouds,2022-07-17 17:56:37
176,Anzhero-Sudzhensk,RU,56.081,86.0285,52.57,98,82,13.67,moderate rain,2022-07-17 17:56:37
177,The Valley,AI,18.217,-63.0578,89.46,62,20,18.41,few clouds,2022-07-17 17:56:37
178,Kungurtug,RU,50.5994,97.5228,51.69,66,32,1.74,scattered clouds,2022-07-17 17:56:38
179,Ixtapa,MX,20.7,-105.2,85.23,71,91,3.0,overcast clouds,2022-07-17 17:56:38
180,El Alto,PE,-4.2714,-81.2147,69.46,68,5,17.56,clear sky,2022-07-17 17:56:38
181,Huilong,CN,31.8111,121.655,81.93,94,100,9.64,moderate rain,2022-07-17 17:56:39
182,Airai,TL,-8.9266,125.4092,53.1,84,31,2.51,scattered clouds,2022-07-17 17:56:32
183,Novocheboksarsk,RU,56.111,47.4776,70.36,78,20,0.0,few clouds,2022-07-17 17:56:39
184,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,82.94,38,44,7.43,scattered clouds,2022-07-17 17:56:39
185,Grindavik,IS,63.8424,-22.4338,52.27,82,75,11.5,broken clouds,2022-07-17 17:56:40
186,Cidreira,BR,-30.1811,-50.2056,57.7,62,14,12.8,few clouds,2022-07-17 17:56:40
187,Sibu,MY,2.3,111.8167,79.11,83,40,2.3,scattered clouds,2022-07-17 17:56:41
188,Lata,PT,40.1629,-8.3327,80.17,48,25,8.41,scattered clouds,2022-07-17 17:56:41
189,Canatlan,MX,24.5167,-104.7833,80.19,24,22,11.83,few clouds,2022-07-17 17:56:41
190,Puerto Madryn,AR,-42.7692,-65.0385,53.02,42,60,18.66,broken clouds,2022-07-17 17:54:52
191,Olafsvik,IS,64.8945,-23.7142,51.37,83,63,3.33,broken clouds,2022-07-17 17:56:42
192,Hambantota,LK,6.1241,81.1185,80.65,78,100,16.49,overcast clouds,2022-07-17 17:56:42
193,Mirabad,AF,30.4362,61.8383,99.19,6,0,9.91,clear sky,2022-07-17 17:56:42
194,Vilyuysk,RU,63.7553,121.6247,61.14,98,77,4.32,broken clouds,2022-07-17 17:56:43
195,Dukat,RU,62.55,155.55,50.83,93,100,4.74,light rain,2022-07-17 17:55:10
196,Andenes,NO,69.3143,16.1194,50.94,93,75,5.75,light intensity drizzle,2022-07-17 17:56:43
197,Tilichiki,RU,60.4667,166.1,53.24,89,80,5.93,broken clouds,2022-07-17 17:56:44
198,Vallenar,CL,-28.5708,-70.7581,69.19,15,5,1.7,clear sky,2022-07-17 17:56:44
199,Mareeba,AU,-17.0,145.4333,63.32,90,25,1.99,scattered clouds,2022-07-17 17:56:44
200,Awbari,LY,26.5921,12.7805,91.89,12,1,10.83,clear sky,2022-07-17 17:56:45
201,Moosomin,CA,50.1333,-101.6677,83.61,54,1,8.75,clear sky,2022-07-17 17:56:45
202,Oktyabrskoye,RU,43.0645,44.7417,77.14,65,16,4.47,few clouds,2022-07-17 17:56:45
203,Villarrobledo,ES,39.2699,-2.6012,96.87,14,0,17.45,clear sky,2022-07-17 17:56:46
204,Cherepanovo,RU,54.2222,83.381,49.77,87,17,7.02,few clouds,2022-07-17 17:56:46
205,Pemangkat,ID,1.1667,108.9667,77.97,77,100,5.35,overcast clouds,2022-07-17 17:56:46
206,Barranca,PE,-10.75,-77.7667,65.14,71,24,9.28,few clouds,2022-07-17 17:53:31
207,Sitka,US,57.0531,-135.33,54.81,96,100,7.58,moderate rain,2022-07-17 17:56:47
208,Atasu,KZ,48.6814,71.6433,71.2,54,49,9.73,scattered clouds,2022-07-17 17:56:47
209,Mar Del Plata,AR,-38.0023,-57.5575,60.1,41,0,19.57,clear sky,2022-07-17 17:54:55
210,Kovur,IN,14.4833,79.9833,82.6,73,100,13.15,overcast clouds,2022-07-17 17:56:48
211,Champerico,GT,14.3,-91.9167,90.14,74,76,5.99,broken clouds,2022-07-17 17:56:48
212,Chhapar,IN,27.8167,74.4,91.9,54,19,2.59,moderate rain,2022-07-17 17:56:48
213,South Yuba City,US,39.1166,-121.6391,103.17,35,0,6.91,clear sky,2022-07-17 17:56:49
214,Unai,BR,-16.3575,-46.9061,87.08,25,45,7.63,scattered clouds,2022-07-17 17:56:49
215,Port Elizabeth,ZA,-33.918,25.5701,77.09,59,0,1.14,clear sky,2022-07-17 17:54:58
216,Antanifotsy,MG,-19.65,47.3167,47.98,91,52,5.84,broken clouds,2022-07-17 17:56:11
217,Nalut,LY,30.3333,10.85,94.15,12,0,8.61,clear sky,2022-07-17 17:56:50
218,Dunedin,NZ,-45.8742,170.5036,52.39,71,93,10.6,overcast clouds,2022-07-17 17:55:44
219,Sambava,MG,-14.2667,50.1667,69.75,83,44,14.47,light rain,2022-07-17 17:56:50
220,Sorland,NO,67.667,12.6934,51.66,77,80,14.47,broken clouds,2022-07-17 17:56:50
221,Prince George,CA,53.9166,-122.753,66.25,58,0,4.0,clear sky,2022-07-17 17:51:56
222,Belogorsk,RU,50.9158,128.4611,60.67,94,76,5.12,broken clouds,2022-07-17 17:56:51
223,Sandanski,BG,41.5667,23.2833,77.7,42,6,3.36,clear sky,2022-07-17 17:56:51
224,Itambacuri,BR,-18.0311,-41.685,85.14,31,21,7.9,few clouds,2022-07-17 17:56:52
