City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Aleksandrov Gay,RU,76.95,scattered clouds,50.147,48.5704,Aleksandrov Gai
251,Baglung,NP,74.53,broken clouds,28.2719,83.5898,Baglung
252,Isangel,VU,74.19,broken clouds,-19.55,169.2667,Isangel
254,Progreso,MX,94.1,few clouds,21.2833,-89.6667,Progreso
256,Nueva Guinea,NI,80.65,broken clouds,11.6876,-84.4562,Nueva Guinea
258,Jefferson City,US,74.62,overcast clouds,38.5767,-92.1735,Jefferson City
261,Estremoz,PT,94.03,broken clouds,38.8443,-7.5859,Estremoz
262,Atherton,GB,88.29,overcast clouds,53.5237,-2.4935,Leigh
263,Seoul,KR,74.77,few clouds,37.5683,126.9778,Seoul
265,Yellandu,IN,75.56,overcast clouds,17.6,80.3333,Yellandu
269,Pundaguitan,PH,81.99,moderate rain,6.3711,126.1689,Mati
277,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Saint George's
278,Xuddur,SO,77.79,overcast clouds,4.1213,43.8894,Xuddur
280,Lazaro Cardenas,MX,87.58,overcast clouds,17.9583,-102.2,Lázaro Cárdenas
281,Bosaso,SO,94.17,clear sky,11.2842,49.1816,Bosaso
282,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Horta
283,Tual,ID,78.73,overcast clouds,-5.6667,132.75,Tual
284,Gamba,GA,71.64,scattered clouds,-2.65,10.0,Foundou
285,Khoy,IR,83.75,clear sky,38.5504,44.9535,Khoy
286,Chirongui,YT,71.53,light rain,-12.9319,45.1483,Boueni
290,Gunjur,GM,80.73,broken clouds,13.2019,-16.7339,Gunjur
291,Lompoc,US,90.01,clear sky,34.6391,-120.4579,Lompoc
292,Saint-Ambroise,CA,82.58,broken clouds,48.5501,-71.3324,Saguenay
294,Neiafu,TO,74.08,broken clouds,-18.65,-173.9833,Neiafu
295,Almaznyy,RU,75.04,broken clouds,48.0448,40.045,Gukovo
296,Riachao Do Jacuipe,BR,84.74,broken clouds,-11.8069,-39.3856,Riachão do Jacuípe
301,Itarema,BR,85.33,scattered clouds,-2.9248,-39.9167,Itarema
302,Dubrovnik,HR,83.84,clear sky,42.6481,18.0922,Dubrovnik
305,Presidente Epitacio,BR,78.85,overcast clouds,-21.7633,-52.1156,Presidente Epitácio
307,Creel,MX,74.08,overcast clouds,27.75,-107.6333,Creel
308,Santo Domingo,DO,91.08,scattered clouds,18.5001,-69.9886,Santo Domingo
311,Pyinmana,MM,76.75,overcast clouds,19.7333,96.2167,Pyinmana
314,Erice,IT,81.36,clear sky,38.037,12.5865,Erice
316,Thompson,CA,77.16,scattered clouds,55.7435,-97.8558,Thompson
317,San Ferdinando Di Puglia,IT,82.26,broken clouds,41.3026,16.0705,San Ferdinando di Puglia
318,Latung,PH,82.31,moderate rain,5.5,120.8833,Siasi
320,Chapais,CA,74.98,broken clouds,49.7834,-74.8492,Chapais
324,Katobu,ID,73.49,overcast clouds,-4.9408,122.5276,Kampani
326,San Quintin,MX,74.46,few clouds,30.4833,-115.95,Lázaro Cárdenas
327,Guangyuan,CN,74.57,overcast clouds,32.442,105.823,Guangyuan
328,Bousse,BF,80.55,broken clouds,12.6606,-1.8922,Boussé
331,Kruisfontein,ZA,74.88,clear sky,-34.0033,24.7314,Humansdorp
332,Ormara,PK,84.9,heavy intensity rain,25.2088,64.6357,Ormara
333,Malanje,AO,73.06,broken clouds,-9.5402,16.341,Malanje
335,Aosta,IT,77.94,few clouds,45.7667,7.4167,Chef-Lieu
338,Trinidad,BO,78.73,scattered clouds,-14.8333,-64.9,Trinidad
339,Road Town,VG,87.84,scattered clouds,18.4167,-64.6167,Road Town
342,Alliance,US,74.28,moderate rain,40.9153,-81.1059,Alliance
343,Goderich,CA,73.72,overcast clouds,43.7501,-81.7165,Goderich
347,Dingle,PH,75.09,overcast clouds,10.9995,122.6711,Pototan
349,Tarauaca,BR,91.13,broken clouds,-8.1614,-70.7656,Tarauacá
352,Jacqueville,CI,76.55,overcast clouds,5.2052,-4.4146,Jacqueville
357,Kemin,KG,71.4,clear sky,42.7846,75.6892,Kemin
358,Kupang,ID,71.02,clear sky,-10.1667,123.5833,Kupang
360,Faya,SA,75.31,broken clouds,18.3851,42.4509,Faya
361,Daru,PG,75.85,broken clouds,-9.0763,143.2092,Daru
362,Gubskaya,RU,70.75,broken clouds,44.3164,40.6358,Gubskaya
363,Ternate,ID,79.12,moderate rain,0.8,127.4,Ternate
365,Ocampo,MX,73.81,broken clouds,21.65,-101.5,Ocampo
368,Ca Mau,VN,78.17,broken clouds,9.1769,105.15,Cà Mau
369,Mahon,ES,88.36,clear sky,39.8885,4.2658,Mahón
370,Topolobampo,MX,90.23,scattered clouds,25.6,-109.05,Topolobampo
371,Mahina,PF,71.37,light rain,-17.5065,-149.489,Māhina
372,Fare,PF,76.44,light rain,-16.7,-151.0167,Fare
374,Nizwa,OM,87.48,overcast clouds,22.9333,57.5333,Nizwa
377,North Bend,US,73.24,clear sky,43.4065,-124.2243,Coos Bay
378,Vao,NC,70.32,overcast clouds,-22.6667,167.4833,Vao
381,Urucurituba,BR,95.29,scattered clouds,-2.6833,-57.6667,Associação Missionários de Guadalupe Amg
383,Virden,US,73.67,overcast clouds,39.5009,-89.7679,Virden
384,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Manta
385,Kieta,PG,78.44,scattered clouds,-6.2167,155.6333,Kieta
386,Nola,IT,89.37,few clouds,40.922,14.5329,Nola
